id	score
en_2001	6.75
en_2002	5.75
en_2003	6.75
en_2004	6.75
en_2005	6.75
en_2006	6.25
en_2007	6.80
en_2008	8.2
en_2009	6.75
en_2010	6.75
en_2011	5.75
en_2012	6.75
en_2013	6.75
en_2014	6.75
en_2015	6.75
en_2016	6.75
en_2017	7.8
en_2018	7.3
en_2019	6.75
en_2020	6.75
en_2021	6.75
en_2022	6.75
en_2023	6.75
en_2024	6.75
en_2025	6.75
en_2026	4.50
en_2027	6.75
en_2028	6.75
en_2029	6.75
en_2030	5.75
en_2031	6.75
en_2032	6.75
en_2033	6.75
en_2034	6.75
en_2035	6.75
en_2036	6.75
en_2037	5.75
en_2038	6.75
en_2039	6.75
en_2040	6.75
en_2041	6.75
en_2042	6.25
en_2043	6.75
en_2044	6.75
en_2045	6.75
en_2046	6.75
en_2047	5.75
en_2048	6.75
en_2049	6.75
en_2050	6.75
en_2051	6.75
en_2052	5.75
en_2053	6.75
en_2054	6.75
en_2055	6.50
en_2056	6.75
en_2057	7.8
en_2058	6.75
en_2059	6.75
en_2060	5.75
en_2061	6.80
en_2062	6.75
en_2063	6.75
en_2064	6.75
en_2065	5.75
en_2066	7.2
en_2067	5.75
en_2068	5.75
en_2069	5.75
en_2070	6.75
en_2071	6.75
en_2072	6.75
en_2073	6.75
en_2074	6.75
en_2075	6.75
en_2076	6.75
en_2077	6.75
en_2078	4.75
en_2079	5.75
en_2080	6.80
en_2081	6.75
en_2082	6.75
en_2083	6.75
en_2084	6.75
en_2085	6.75
en_2086	6.75
en_2087	6.75
en_2088	6.75
en_2089	6.75
en_2090	6.75
en_2091	6.75
en_2092	5.75
en_2093	7.2
en_2094	6.75
en_2095	6.75
en_2096	6.75
en_2097	6.85
en_2098	4.75
en_2099	7.8
en_2100	5.75
en_2101	6.75
en_2102	6.75
en_2103	7.8
en_2104	6.75
en_2105	5.75
en_2106	5.75
en_2107	6.75
en_2108	5.75
en_2109	7.0
en_2110	5.75
en_2111	5.75
en_2112	6.75
en_2113	6.75
en_2114	6.75
en_2115	6.75
en_2116	5.75
en_2117	6.75
en_2118	6.75
en_2119	4.50
en_2120	6.75
en_2121	5.75
en_2122	7.1
en_2123	6.75
en_2124	6.25
en_2125	6.75
en_2126	6.75
en_2127	6.75
en_2128	6.75
en_2129	6.75
en_2130	6.75
en_2131	6.75
en_2132	5.75
en_2133	5.75
en_2134	6.75
en_2135	6.75
en_2136	5.75
en_2137	6.75
en_2138	6.25
en_2139	6.75
en_2140	6.75
en_2141	5.75
en_2142	6.75
en_2143	5.75
en_2144	5.75
en_2145	6.75
en_2146	6.75
en_2147	5.75
en_2148	6.75
en_2149	6.75
en_2150	7.2
en_2151	5.80
en_2152	6.75
en_2153	6.75
en_2154	6.50
en_2155	5.75
en_2156	5.75
en_2157	5.75
en_2158	5.75
en_2159	6.75
en_2160	6.75
en_2161	6.75
en_2162	6.75
en_2163	4.75
en_2164	5.75
en_2165	5.75
en_2166	4.75
en_2167	6.75
en_2168	6.75
en_2169	5.75
en_2170	6.75
en_2171	6.75
en_2172	6.75
en_2173	6.75
en_2174	4.50
en_2175	6.75
en_2176	6.75
en_2177	6.75
en_2178	6.75
en_2179	6.75
en_2180	6.75
en_2181	6.75
en_2182	6.75
en_2183	5.75
en_2184	4.50
en_2185	6.75
en_2186	6.75
en_2187	6.75
en_2188	6.75
en_2189	6.75
en_2190	5.75
en_2191	6.75
en_2192	6.75
en_2193	6.75
en_2194	5.25
en_2195	5.75
en_2196	6.75
en_2197	6.75
en_2198	6.75
en_2199	6.75
en_2200	7.2
en_2201	6.75
en_2202	6.75
en_2203	5.75
en_2204	6.75
en_2205	6.75
en_2206	5.50
en_2207	6.75
en_2208	6.75
en_2209	7.2
en_2210	5.75
en_2211	4.75
en_2212	6.75
en_2213	6.75
en_2214	6.75
en_2215	6.75
en_2216	3.50
en_2217	6.75
en_2218	4.75
en_2219	5.98
en_2220	6.75
en_2221	6.75
en_2222	6.75
en_2223	5.75
en_2224	6.75
en_2225	5.8
en_2226	6.75
en_2227	6.75
en_2228	6.80
en_2229	6.75
en_2230	6.75
en_2231	7.2
en_2232	7.2
en_2233	6.75
en_2234	6.75
en_2235	6.75
en_2236	6.75
en_2237	6.75
en_2238	6.75
en_2239	6.75
en_2240	6.75
en_2241	7.8
en_2242	6.75
en_2243	5.75
en_2244	6.75
en_2245	6.75
en_2246	4.75
en_2247	5.75
en_2248	6.80
en_2249	5.75
en_2250	5.75
en_2251	7.3
en_2252	5.75
en_2253	6.75
en_2254	5.75
en_2255	5.75
en_2256	6.75
en_2257	6.25
en_2258	6.75
en_2259	6.50
en_2260	6.75
en_2261	6.75
en_2262	6.75
en_2263	3.75
en_2264	6.75
en_2265	6.75
en_2266	6.75
en_2267	4.75
en_2268	6.75
en_2269	5.85
en_2270	6.75
en_2271	5.75
en_2272	7.2
en_2273	5.75
en_2274	6.75
en_2275	6.75
en_2276	5.75
en_2277	4.50
en_2278	6.75
en_2279	5.75
en_2280	6.75
en_2281	6.80
en_2282	4.50
en_2283	5.75
en_2284	6.75
en_2285	5.75
en_2286	3.50
en_2287	4.25
en_2288	4.50
en_2289	5.25
en_2290	5.75
en_2291	5.75
en_2292	5.75
en_2293	5.75
en_2294	6.75
en_2295	5.75
en_2296	5.75
en_2297	6.75
en_2298	4.75
en_2299	6.50
en_2300	4.25
